School Code,School Name,School Type,Sch type - reg/ VJ,School Shift,Nov 1,Nov 2,Nov 3,Nov 4,Nov 5,Nov 6,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30
4180208641,Jyoti Model School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
2648183925,Sankalp Public School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
5724245767,Adarsh Senior Secondary School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
7586779859,Shanti Model School,Once in two weeks,Regular school,Double Shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
6737631854,Sankalp Public School,Weekly,Regular school,Double Shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
4401316790,Saraswati Public School,Weekly,Regular school,Single shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
5451862645,Ujjwal Senior Secondary School,Once in two weeks,Regular school,Double Shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
9334395801,Pragati Public School,Once in two weeks,Regular school,Single shift,,,V,,,,-,,,,,,,-,,,,V,,,-,,,,,,,-,,
4861523159,Ujjwal Senior Secondary School,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
7644133124,Vidya Public School,Once in two weeks,Vidya Jyoti school,Double Shift,,,,V,,-,-,,,,,,-,-,,,,,V,-,-,,,,,,-,-,,
1699296640,Ujjwal Vidyalaya,Two days a week,Regular school,Double Shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
1249817678,Aarohan High School,Two days a week,Regular school,Double Shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
3066101549,Sankalp Model School,Weekly,Regular school,Single shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
8323615786,Vidya Public School,Weekly,Regular school,Double Shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
6250118677,Aarohan High School,Weekly,Vidya Jyoti school,Double Shift,V,,,,,-,-,,V,,,,-,-,V,,,,,-,-,,V,,,,-,-,,
4873406188,Gyan Public School,Once in two weeks,Regular school,Single shift,,,,,V,,-,,,,,,,-,,,,,,V,-,,,,,,,-,,
8452867712,Saraswati Model School,Two days a week,Regular school,Double Shift,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,,
6392063171,Navchetna Vidyalaya,Once in two weeks,Regular school,Double Shift,,,,,,V,-,,,,,,,-,,,,,,,-,,V,,,,,-,,
6404836393,Adarsh Public School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
3808065904,Pragati Public School,Once in two weeks,Vidya Jyoti school,Double Shift,,,,,,-,-,,V,,,,-,-,,,,,,-,-,,,V,,,-,-,,
7472516179,Sankalp Vidyalaya,Once in two weeks,Vidya Jyoti school,Double Shift,,,,,,-,-,,,V,,,-,-,,,,,,-,-,,,,V,,-,-,,
7806904529,Utkarsh Public School,Once in two weeks,Regular school,Single shift,,,,,,,-,,,V,,,,-,,,,,,,-,,,,V,,,-,,
5783113723,Aarohan Model School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,V,,,-,,,,,,,-,,,,,V,,-,,
7311748982,Gyan Vidyalaya,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,V,,-,,,,,,,-,,,,,,V,-,,
6038986788,Saraswati Public School,Weekly,Regular school,Double Shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
7480030338,Sankalp Senior Secondary School,Weekly,Regular school,Single shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
6064873642,Shanti Public School,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
7222524373,Ujjwal Public School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,,V,-,,V,,,,,-,,,,,,,-,,
7327082609,Utkarsh Senior Secondary School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
4930978792,Utkarsh Public School,Two days a week,Vidya Jyoti school,Double Shift,V,,,V,,-,-,V,,,V,,-,-,V,,,V,,-,-,V,,,V,,-,-,,
4400336812,Vidya Academy,Weekly,Regular school,Double Shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
2295933503,Adarsh Model School,Weekly,Regular school,Double Shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
2404403961,Pragati Public School,Once in two weeks,Regular school,Double Shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
1765017938,Vidya Vidyalaya,Weekly,Regular school,Double Shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
